Area_m2,YearBuilt,Furnished,Renovated,Location,PropertyType,HasBasement,ParkingSpaces,Bedrooms,Bathrooms,Condition,Price
60.4,2002.0,Yes,Yes,Novi Beograd,Stan,No,2.0,4,2,Fair,138800
45.8,2000.0,Yes,No,Zemun,Stan,Yes,1.0,1,1,Poor,75800
49.3,1956.0,Yes,No,Novi Beograd,Vila,Yes,0.0,1,2,,157000
121.9,1991.0,No,Yes,Zemun,Kuca,No,1.0,1,1,Fair,225800
88.5,1984.0,No,Yes,Vracar,Stan,No,1.0,4,2,Excellent,260200
26.3,1983.0,No,No,Zemun,Kuca,No,2.0,2,3,Excellent,51500
102.6,2022.0,No,Yes,Vracar,Stan,No,0.0,5,3,Poor,178800
94.8,2003.0,No,No,Novi Beograd,Vila,Yes,1.0,4,1,Fair,298800
58.0,1978.0,Yes,Yes,Predgradje,Kuca,Yes,0.0,4,2,Good,94200
72.7,1959.0,No,No,Periferia,Stan,No,1.0,1,1,Good,88000
64.6,1976.0,Yes,No,Centar,Kuca,No,0.0,2,1,Fair,158400
114.3,1962.0,No,Yes,Periferia,Stan,No,2.0,5,1,Good,167800
45.1,1991.0,Yes,Yes,Vracar,Vila,No,0.0,1,2,Good,170500
68.7,,No,Yes,Periferia,Stan,No,1.0,3,1,Fair,83600
54.3,2010.0,No,Yes,Periferia,Kuca,No,1.0,2,1,Poor,71600
29.2,1970.0,No,No,Vracar,Stan,No,2.0,2,2,Good,55800
119.8,1952.0,Yes,Yes,Centar,Kuca,No,2.0,4,1,Fair,318100
35.5,1957.0,Yes,No,Novi Beograd,Studio,Yes,0.0,3,1,Excellent,78800
70.5,,No,Yes,Vracar,Kuca,Yes,0.0,3,2,Good,205800
21.5,1966.0,No,No,Zemun,Kuca,Yes,1.0,3,2,Good,66500
55.0,1959.0,No,No,Novi Beograd,Studio,No,1.0,3,2,Excellent,111000
75.5,1962.0,No,Yes,Centar,Stan,No,0.0,3,1,Excellent,241500
44.4,1961.0,No,No,Periferia,Stan,No,2.0,5,1,Good,59300
79.7,2015.0,No,Yes,Predgradje,Stan,No,0.0,5,1,Fair,84200
58.3,2023.0,No,No,Vracar,Vila,No,3.0,3,1,,225800
94.0,1972.0,No,No,Centar,Stan,Yes,0.0,2,1,Good,231500
99.0,2014.0,No,No,Novi Beograd,Kuca,No,0.0,2,2,Fair,217700
50.3,2001.0,No,No,Centar,Kuca,No,0.0,1,1,Excellent,178800
66.9,2010.0,No,No,Predgradje,Stan,No,1.0,2,1,Fair,73200
69.6,1975.0,No,No,Centar,Stan,Yes,0.0,2,1,Poor,128000
80.5,1964.0,No,No,Zemun,Stan,Yes,1.0,1,1,Poor,123000
65.4,1971.0,No,No,Novi Beograd,Stan,No,1.0,2,1,Good,135800
69.8,2014.0,Yes,Yes,Zemun,Stan,No,0.0,1,1,Good,121900
58.9,1975.0,No,No,Zemun,Stan,No,2.0,3,1,Fair,89200
67.9,1970.0,No,No,Periferia,Studio,No,2.0,1,2,Fair,60900
97.4,1973.0,Yes,Yes,Novi Beograd,Vila,No,1.0,3,3,Fair,291400
81.2,1965.0,No,No,Centar,Stan,Yes,2.0,2,2,Good,221200
82.5,1981.0,No,No,Centar,Stan,No,0.0,3,1,Poor,140400
83.1,1965.0,No,Yes,Predgradje,Stan,No,0.0,4,1,Excellent,124400
61.2,1991.0,No,No,Periferia,Kuca,Yes,0.0,1,2,Fair,82400
73.0,1981.0,No,No,Zemun,Studio,Yes,3.0,5,1,Excellent,142900
37.9,1999.0,No,Yes,Zemun,Stan,No,1.0,3,2,Fair,65200
96.7,1990.0,Yes,No,Zemun,Stan,No,0.0,1,2,Good,171100
20.0,1973.0,,No,Centar,Studio,No,1.0,2,2,Fair,39300
62.8,1962.0,Yes,Yes,Predgradje,Kuca,Yes,0.0,4,1,Poor,67000
93.5,1959.0,No,Yes,Vracar,Stan,No,0.0,3,1,Excellent,265400
30.9,1991.0,Yes,No,Novi Beograd,Kuca,No,1.0,2,2,Excellent,80700
75.0,1990.0,Yes,No,Vracar,Stan,No,0.0,4,2,Good,180100
48.0,1952.0,No,Yes,Centar,Stan,Yes,0.0,3,2,Good,129400
55.8,2004.0,Yes,Yes,Centar,Studio,No,0.0,3,1,Good,129300
88.6,1965.0,No,No,Zemun,Studio,Yes,1.0,4,2,Excellent,166000
70.0,1993.0,No,No,Centar,Stan,No,1.0,3,3,Fair,159900
20.0,1979.0,No,Yes,Zemun,Vila,Yes,1.0,2,2,Good,72100
40.6,1986.0,Yes,No,Novi Beograd,Stan,Yes,1.0,3,1,Good,100700
89.4,2009.0,No,No,Novi Beograd,Studio,No,0.0,4,2,Good,168100
76.2,,Yes,No,Novi Beograd,Stan,No,0.0,2,2,,201900
108.7,,No,Yes,Novi Beograd,Studio,Yes,2.0,2,3,Fair,199600
107.1,2007.0,No,No,Zemun,Vila,Yes,0.0,2,2,Fair,255700
56.4,1958.0,Yes,No,Novi Beograd,Stan,No,,2,2,Good,126400
127.6,2010.0,Yes,Yes,Zemun,Vila,Yes,2.0,1,2,Good,356100
65.6,1968.0,Yes,No,Vracar,Studio,Yes,1.0,4,1,Fair,135800
40.9,1977.0,Yes,Yes,Zemun,Studio,Yes,0.0,4,1,Good,66800
49.2,1956.0,No,No,Predgradje,Stan,No,2.0,2,1,Excellent,62300
20.0,1994.0,No,No,Zemun,Studio,Yes,0.0,3,1,Fair,34700
105.2,2012.0,Yes,No,Novi Beograd,Studio,No,1.0,3,2,Good,188400
104.9,1986.0,No,Yes,Centar,Stan,No,0.0,2,1,Good,250900
39.6,1965.0,No,No,Novi Beograd,Vila,No,1.0,2,1,Good,122500
59.3,1954.0,No,Yes,Zemun,Stan,Yes,1.0,2,1,Excellent,146500
67.4,1978.0,Yes,No,Centar,Stan,No,1.0,3,1,Good,172400
41.0,2001.0,No,No,Vracar,Kuca,No,2.0,2,2,Good,120700
21.1,1972.0,No,Yes,Zemun,Kuca,No,2.0,2,2,Good,25900
59.7,1955.0,No,Yes,Novi Beograd,Kuca,No,0.0,1,2,Good,153100
57.0,1985.0,Yes,No,Periferia,Stan,Yes,2.0,4,1,Good,94000
55.3,2006.0,Yes,No,Centar,Vila,No,0.0,3,1,Excellent,261900
70.6,1982.0,No,No,Centar,Stan,Yes,0.0,2,3,Good,181900
100.7,1998.0,No,Yes,Zemun,Stan,No,3.0,4,1,Fair,168500
57.4,1990.0,No,No,Vracar,Stan,No,1.0,2,2,Fair,117200
69.3,2004.0,Yes,Yes,Zemun,Kuca,Yes,0.0,3,2,Poor,115800
83.2,1975.0,No,No,Vracar,Vila,Yes,1.0,2,1,Poor,226500
78.9,1986.0,Yes,No,Novi Beograd,Kuca,Yes,0.0,2,2,Excellent,239600
49.6,1966.0,Yes,No,Periferia,Studio,No,1.0,4,1,Good,67300
67.4,1981.0,No,Yes,Periferia,Stan,No,1.0,3,3,Good,104500
78.7,,Yes,No,Zemun,Kuca,No,2.0,2,1,Good,181900
36.8,1974.0,Yes,Yes,Novi Beograd,Stan,No,0.0,1,1,Excellent,99200
96.6,1996.0,No,No,Zemun,Stan,Yes,0.0,2,2,Good,176900
100.8,1971.0,No,No,Novi Beograd,Stan,Yes,0.0,3,1,Excellent,263600
46.9,2010.0,Yes,Yes,Centar,Kuca,Yes,0.0,1,2,Good,128000
69.8,1993.0,No,Yes,Predgradje,Kuca,No,2.0,3,2,Excellent,112900
81.1,,Yes,Yes,Centar,Studio,No,2.0,4,1,,190300
51.4,1999.0,Yes,No,Predgradje,Stan,No,1.0,2,1,Fair,53300
77.0,1996.0,No,No,Vracar,Stan,No,1.0,4,1,Good,183400
69.1,1996.0,Yes,No,Centar,Kuca,No,2.0,1,1,Good,204100
28.3,2021.0,No,Yes,Vracar,Stan,Yes,0.0,3,1,Fair,86300
76.5,2000.0,Yes,No,Periferia,Studio,Yes,0.0,3,2,Good,99800
37.5,2004.0,No,No,Zemun,Kuca,Yes,0.0,2,1,Fair,73500
88.5,1988.0,No,No,Periferia,Stan,No,2.0,2,1,Poor,112500
48.2,1963.0,No,No,Zemun,Vila,No,1.0,4,1,Excellent,145900
61.0,2018.0,Yes,No,Zemun,Kuca,Yes,1.0,1,2,Good,132800
99.3,1996.0,No,No,Periferia,Stan,No,0.0,3,2,Excellent,154400
77.4,1970.0,No,No,Novi Beograd,Kuca,No,1.0,2,3,Good,186400
38.0,1964.0,Yes,No,Vracar,Stan,Yes,2.0,2,1,,105800
39.6,1950.0,No,No,Novi Beograd,Studio,No,0.0,3,1,,59000
50.0,1959.0,Yes,Yes,Predgradje,Studio,No,1.0,3,1,Good,52300
74.9,1972.0,No,No,Predgradje,Vila,Yes,0.0,2,1,Excellent,149500
74.0,1967.0,No,Yes,Centar,Kuca,No,2.0,3,2,Fair,206400
43.9,2007.0,Yes,No,Zemun,Stan,Yes,1.0,1,2,Excellent,99900
35.8,2022.0,No,Yes,Predgradje,Studio,No,0.0,1,1,Excellent,51000
72.0,2001.0,Yes,Yes,Centar,Stan,No,1.0,2,2,Good,189700
60.5,1995.0,No,No,Zemun,Kuca,No,0.0,3,3,Excellent,153400
118.9,1962.0,Yes,Yes,Predgradje,Kuca,Yes,2.0,2,3,Good,152700
65.9,1966.0,No,No,Centar,Stan,No,3.0,3,1,Excellent,193000
110.4,2016.0,Yes,No,Zemun,Stan,Yes,1.0,3,1,Good,215200
35.7,2010.0,Yes,No,Novi Beograd,Studio,Yes,0.0,2,1,Poor,77000
25.7,2014.0,No,Yes,Predgradje,Studio,No,1.0,3,1,Excellent,37100
37.0,2002.0,Yes,Yes,Predgradje,Stan,Yes,1.0,5,1,Good,59300
94.7,1954.0,No,No,Predgradje,Stan,Yes,,2,3,Good,106600
108.9,1981.0,No,No,Vracar,Stan,No,0.0,3,1,Good,262300
45.4,1994.0,Yes,No,Periferia,Studio,No,2.0,2,2,Fair,64200
53.5,2005.0,No,No,Periferia,Stan,Yes,2.0,3,2,Good,89100
35.8,1954.0,Yes,No,Novi Beograd,Kuca,No,2.0,3,1,Excellent,108300
20.0,,Yes,No,Periferia,Stan,No,1.0,3,1,Poor,30500
83.0,2010.0,Yes,Yes,Centar,Kuca,Yes,2.0,4,2,Fair,242500
70.6,2011.0,No,No,Zemun,Stan,No,1.0,2,2,Poor,100400
65.3,2018.0,Yes,No,Novi Beograd,Studio,No,1.0,2,3,Good,137800
30.0,2012.0,No,Yes,Centar,Stan,No,2.0,1,2,Good,90700
106.0,1993.0,No,Yes,Centar,Kuca,Yes,3.0,3,2,Good,319900
52.4,1977.0,Yes,No,Zemun,Stan,Yes,2.0,4,2,Excellent,117600
78.3,2019.0,No,No,Novi Beograd,Kuca,No,2.0,2,1,Good,190000
28.6,1962.0,No,No,Zemun,Studio,No,1.0,2,2,Fair,30000
60.2,1992.0,,No,Centar,Stan,No,1.0,3,3,Excellent,190500
72.3,1979.0,Yes,No,Novi Beograd,Studio,No,2.0,1,1,Good,144700
73.2,1975.0,Yes,No,Vracar,Kuca,No,1.0,2,1,Good,198200
68.9,2012.0,No,No,Periferia,Stan,No,0.0,2,2,Good,98600
77.4,2022.0,No,Yes,Novi Beograd,Stan,No,2.0,3,3,Excellent,222600
36.7,2006.0,Yes,No,Zemun,Stan,No,2.0,2,1,Good,65600
69.9,2013.0,Yes,No,Periferia,Kuca,Yes,0.0,2,2,Good,115400
67.8,1998.0,No,No,Zemun,Studio,No,2.0,3,2,Good,102000
70.8,2001.0,Yes,Yes,Novi Beograd,Stan,Yes,0.0,4,2,Poor,128600
66.8,2012.0,No,No,Centar,Kuca,Yes,2.0,1,2,Good,206400
33.2,1962.0,Yes,Yes,Periferia,Studio,No,1.0,3,3,Good,47400
32.1,1994.0,No,Yes,Centar,Vila,No,1.0,3,1,Fair,111100
20.0,1995.0,,No,Periferia,Kuca,Yes,2.0,4,1,Poor,39300
85.4,1990.0,Yes,Yes,Vracar,Vila,No,2.0,3,1,Fair,285300
85.7,1995.0,Yes,No,Predgradje,Kuca,No,2.0,3,1,Good,119000
86.1,1950.0,No,No,Periferia,Stan,No,2.0,3,1,,140100
72.7,2022.0,,No,Predgradje,Studio,No,0.0,2,1,Excellent,80800
20.0,2017.0,Yes,Yes,Novi Beograd,Stan,No,0.0,3,2,Fair,42600
39.3,,No,No,Periferia,Stan,Yes,,3,1,Good,61200
69.3,2022.0,Yes,No,Vracar,Stan,Yes,2.0,2,2,Excellent,214700
68.4,1984.0,Yes,Yes,Vracar,Studio,No,0.0,1,1,Fair,127600
59.4,1982.0,No,No,Zemun,Studio,No,0.0,2,1,Good,105400
74.2,2007.0,No,No,Periferia,Stan,No,0.0,2,1,Good,98000
65.3,1984.0,Yes,Yes,Predgradje,Stan,No,1.0,3,1,Poor,65600
68.0,1995.0,No,No,Periferia,Stan,Yes,2.0,4,1,Excellent,122700
49.0,2015.0,No,No,Vracar,Kuca,No,0.0,2,1,Excellent,160600
89.6,1993.0,,Yes,Vracar,Stan,Yes,0.0,1,2,Poor,156600
54.2,1975.0,Yes,No,Zemun,Studio,No,2.0,5,1,Poor,69200
31.7,1991.0,Yes,Yes,Novi Beograd,Stan,Yes,0.0,3,1,Poor,71600
45.7,1979.0,No,Yes,Centar,Stan,No,2.0,4,1,Fair,118600
56.3,1981.0,No,No,Novi Beograd,Stan,Yes,1.0,1,2,Good,132000
89.9,1985.0,No,No,Novi Beograd,Stan,No,1.0,4,1,Good,193000
63.9,1968.0,Yes,No,Novi Beograd,Vila,No,0.0,4,1,Fair,195300
60.3,1971.0,No,Yes,Novi Beograd,Stan,Yes,0.0,2,1,Excellent,152600
33.8,2014.0,No,No,Centar,Stan,No,1.0,2,2,,89600
84.6,2006.0,Yes,No,Centar,Stan,No,2.0,2,1,Poor,161000
48.7,1960.0,Yes,No,Predgradje,Stan,No,1.0,2,1,Fair,61400
62.5,1975.0,No,No,Vracar,Stan,Yes,0.0,5,2,Good,153700
102.0,1997.0,No,Yes,Novi Beograd,Stan,No,2.0,2,2,Good,238800
77.7,1968.0,Yes,Yes,Zemun,Kuca,Yes,0.0,3,1,Fair,157100
24.3,1961.0,No,No,Novi Beograd,Kuca,Yes,2.0,4,1,Fair,65100
20.8,2016.0,,No,Predgradje,Stan,No,0.0,2,3,Excellent,23400
63.4,2005.0,No,Yes,Periferia,Stan,Yes,1.0,3,1,Excellent,116300
34.7,1967.0,No,No,Centar,Vila,No,0.0,1,1,Fair,103300
81.2,1954.0,No,Yes,Vracar,Stan,No,1.0,2,1,Good,187300
66.1,1973.0,Yes,Yes,Periferia,Stan,Yes,1.0,5,2,Good,105800
69.1,1987.0,Yes,No,Predgradje,Stan,Yes,1.0,2,1,Good,75100
47.3,2016.0,,Yes,Vracar,Stan,No,0.0,2,1,Good,108100
108.5,2019.0,Yes,No,Zemun,Studio,No,2.0,3,1,,202200
136.1,2001.0,No,No,Centar,Stan,No,2.0,3,1,Good,354900
58.0,1988.0,No,No,Predgradje,Kuca,No,1.0,3,3,Good,74000
73.8,2008.0,Yes,Yes,Novi Beograd,Stan,No,1.0,4,1,Good,164000
67.4,1975.0,No,Yes,Predgradje,Stan,Yes,1.0,1,1,Excellent,93400
58.5,2014.0,No,No,Zemun,Studio,No,0.0,3,1,Good,99000
44.2,1997.0,Yes,No,Zemun,Stan,Yes,2.0,4,2,Poor,74400
37.9,2002.0,No,Yes,Vracar,Kuca,No,0.0,1,1,Fair,84300
36.6,1958.0,No,No,Novi Beograd,Stan,Yes,1.0,3,2,Good,80400
75.1,1954.0,Yes,No,Centar,Kuca,No,1.0,2,1,Fair,188100
52.0,2021.0,No,No,Novi Beograd,Stan,Yes,1.0,1,2,Good,123500
20.0,2010.0,Yes,No,Centar,Studio,No,2.0,2,1,Excellent,58000
76.1,1970.0,Yes,No,Periferia,Stan,No,0.0,3,1,Good,104400
64.0,2012.0,Yes,No,Novi Beograd,Studio,No,1.0,4,2,Excellent,138500
98.7,1969.0,No,Yes,Centar,Stan,No,1.0,3,1,Fair,228700
74.3,2007.0,Yes,Yes,Predgradje,Kuca,No,0.0,4,2,Excellent,121600
28.0,1994.0,Yes,No,Periferia,Stan,Yes,1.0,1,1,Good,37700
20.0,1971.0,No,No,Predgradje,Vila,No,2.0,2,3,Good,35500
47.0,2012.0,Yes,Yes,Predgradje,Stan,No,0.0,5,1,,62500
49.4,1979.0,Yes,No,Centar,Stan,Yes,1.0,4,1,Fair,120700
88.6,2012.0,Yes,No,Novi Beograd,Stan,No,1.0,2,1,Good,190700
64.8,1993.0,Yes,Yes,Periferia,Stan,No,1.0,3,1,Good,99500
93.3,2016.0,No,Yes,Zemun,Stan,No,2.0,2,1,Fair,148600
31.9,2007.0,Yes,No,Centar,Vila,Yes,0.0,2,1,Good,126900
89.1,2014.0,Yes,No,Periferia,Vila,No,1.0,4,3,Good,192600
83.0,1985.0,No,No,Novi Beograd,Stan,No,,3,2,Fair,177300
20.0,1955.0,No,Yes,Novi Beograd,Vila,No,0.0,2,1,Poor,44500
98.1,1986.0,No,No,Vracar,Kuca,No,2.0,2,2,Good,280400
67.3,2004.0,No,No,Zemun,Stan,No,0.0,2,1,Good,130500
74.8,2008.0,No,No,Zemun,Kuca,No,0.0,3,3,Excellent,189200
43.4,1987.0,No,Yes,Centar,Kuca,Yes,1.0,2,1,Excellent,160300
96.9,1974.0,No,No,Periferia,Vila,No,0.0,5,1,Good,187900
35.4,1982.0,No,Yes,Novi Beograd,Stan,No,1.0,4,2,Good,80300
85.8,1962.0,No,Yes,Centar,Kuca,Yes,2.0,2,1,Good,258500
85.5,1987.0,Yes,No,Periferia,Stan,No,0.0,3,2,Good,116100
40.6,2007.0,No,Yes,Predgradje,Stan,Yes,0.0,3,3,Fair,59800
114.6,1969.0,No,No,Periferia,Stan,No,0.0,2,3,Good,157000
70.8,1966.0,No,Yes,Periferia,Vila,No,0.0,2,3,Good,147300
81.3,1973.0,Yes,No,Zemun,Studio,No,0.0,5,1,Poor,101900
26.8,1975.0,Yes,Yes,Zemun,Studio,Yes,2.0,2,2,Good,58400
117.9,1989.0,Yes,No,Centar,Kuca,No,2.0,3,1,Excellent,418200
34.4,1981.0,,Yes,Vracar,Stan,No,0.0,2,2,Good,77900
90.6,1986.0,Yes,No,Novi Beograd,Stan,No,2.0,2,1,Good,216500
40.1,2009.0,Yes,No,Novi Beograd,Stan,No,0.0,3,1,Excellent,115200
49.5,2006.0,Yes,No,Zemun,Stan,No,1.0,4,3,Good,103500
84.7,2007.0,Yes,No,Vracar,Studio,No,0.0,1,2,Fair,149100
90.7,2016.0,No,Yes,Centar,Kuca,Yes,0.0,2,3,Fair,269500
33.2,1971.0,No,Yes,Novi Beograd,Stan,No,2.0,3,1,Good,73400
92.3,2007.0,Yes,No,Zemun,Stan,No,1.0,2,1,Good,173300
91.1,2022.0,No,Yes,Centar,Stan,No,1.0,3,3,,221900
41.6,,Yes,No,Periferia,Stan,No,1.0,1,1,Fair,47500
105.0,1998.0,Yes,No,Vracar,Vila,No,0.0,3,3,Excellent,452400
28.6,1998.0,No,No,Vracar,Kuca,No,1.0,3,2,Good,84700
49.4,1991.0,No,No,Zemun,Studio,No,2.0,2,3,Excellent,88100
77.0,1989.0,No,No,Periferia,Stan,No,0.0,2,2,Good,109500
43.7,2020.0,No,No,Novi Beograd,Stan,No,1.0,2,2,Excellent,112400
71.6,1995.0,No,No,Zemun,Stan,No,1.0,2,1,Fair,115500
71.0,1971.0,Yes,No,Zemun,Studio,No,1.0,3,3,Good,107400
60.3,1970.0,Yes,No,Novi Beograd,Studio,No,1.0,2,1,Poor,89300
85.8,2000.0,Yes,Yes,Periferia,Stan,Yes,1.0,3,1,Good,136200
59.3,,No,No,Periferia,Kuca,Yes,3.0,3,2,Good,91800
70.8,2023.0,Yes,Yes,Zemun,Stan,Yes,1.0,1,2,Fair,127800
93.7,1958.0,Yes,Yes,Periferia,Kuca,No,1.0,2,2,Excellent,175500
84.8,1967.0,No,No,Periferia,Vila,No,1.0,3,1,Excellent,210700
84.7,1962.0,Yes,No,Zemun,Kuca,Yes,1.0,2,2,Poor,131000
36.3,1966.0,Yes,No,Periferia,Kuca,No,1.0,3,2,Good,58700
78.1,1974.0,Yes,No,Zemun,Stan,No,1.0,2,2,Good,141700
43.0,2003.0,Yes,No,Zemun,Stan,No,1.0,1,1,Good,79600
33.0,1965.0,No,Yes,Zemun,Stan,No,1.0,2,2,,88700
63.2,1973.0,,No,Periferia,Stan,No,0.0,2,3,Fair,69700
42.4,1972.0,Yes,No,Centar,Kuca,Yes,1.0,3,3,,154800
84.8,1990.0,Yes,Yes,Periferia,Kuca,Yes,2.0,2,1,Fair,137300
85.4,1982.0,No,No,Periferia,Stan,No,2.0,1,1,Good,113100
20.0,1991.0,No,No,Centar,Studio,No,2.0,3,1,Good,43700
44.3,1997.0,No,No,Periferia,Stan,Yes,1.0,2,1,Fair,63000
28.5,1967.0,No,No,Centar,Stan,Yes,0.0,2,1,Fair,70400
53.4,2012.0,Yes,Yes,Novi Beograd,Stan,No,1.0,4,2,Excellent,165500
76.4,1960.0,,No,Zemun,Stan,No,0.0,2,2,Good,131300
58.9,1973.0,No,No,Centar,Stan,No,2.0,4,1,Fair,131800
50.3,2010.0,Yes,No,Periferia,Stan,Yes,0.0,2,1,Good,70600
97.5,,Yes,No,Periferia,Stan,No,2.0,2,1,Poor,120300
20.0,1985.0,Yes,No,Vracar,Vila,No,2.0,4,1,Fair,74900
95.9,2002.0,Yes,No,Centar,Stan,No,2.0,3,2,Good,246300
51.4,1996.0,No,No,Novi Beograd,Stan,No,2.0,1,1,Poor,81100
63.0,2001.0,No,No,Zemun,Stan,No,1.0,3,2,Excellent,132700
51.8,2006.0,Yes,No,Predgradje,Kuca,No,1.0,2,1,Good,70500
103.6,1972.0,Yes,No,Zemun,Stan,No,0.0,3,2,Excellent,229300
34.2,2008.0,No,No,Novi Beograd,Studio,Yes,,3,2,Good,83300
65.3,2018.0,Yes,Yes,Zemun,Kuca,No,0.0,2,1,Excellent,182000
78.2,2005.0,No,Yes,Vracar,Kuca,No,0.0,1,2,Good,216400
24.7,1991.0,No,No,Periferia,Kuca,No,2.0,3,1,Good,38400
42.0,1967.0,No,No,Centar,Stan,No,0.0,1,1,Excellent,124600
61.3,2020.0,No,Yes,Periferia,Stan,No,1.0,2,2,Good,80500
42.8,1982.0,No,No,Vracar,Stan,No,0.0,2,2,Poor,67500
44.6,1952.0,No,Yes,Predgradje,Kuca,Yes,3.0,3,2,Good,72700
56.3,1977.0,Yes,No,Novi Beograd,Stan,No,1.0,3,1,Excellent,156900
81.2,1950.0,No,No,Zemun,Stan,No,1.0,2,1,Good,152000
56.4,2012.0,,No,Predgradje,Vila,Yes,1.0,4,1,Good,105200
92.0,1996.0,Yes,No,Centar,Stan,No,2.0,3,1,Good,251500
40.1,1986.0,,No,Predgradje,Studio,Yes,0.0,2,1,Excellent,46400
33.7,1997.0,No,No,Zemun,Studio,No,2.0,5,2,Poor,45400
113.2,1968.0,Yes,No,Centar,Stan,No,,4,2,Good,292800
48.6,1963.0,No,No,Novi Beograd,Stan,Yes,0.0,1,2,Fair,102000
32.2,2016.0,No,No,Zemun,Stan,No,0.0,3,2,Good,70800
21.4,2014.0,Yes,No,Centar,Kuca,No,2.0,3,1,Good,82300
91.9,1975.0,No,No,Zemun,Kuca,Yes,0.0,2,1,Fair,176100
56.5,1959.0,No,No,Novi Beograd,Studio,No,2.0,2,1,Fair,100300
58.7,,No,No,Zemun,Vila,No,,3,1,Good,163500
61.0,1992.0,Yes,No,Centar,Kuca,Yes,1.0,2,2,Fair,171300
90.3,2019.0,No,No,Periferia,Stan,No,1.0,4,2,Fair,141800
60.5,2021.0,No,Yes,Predgradje,Stan,Yes,1.0,1,2,Excellent,100000
123.6,2008.0,Yes,No,Predgradje,Studio,Yes,0.0,4,1,Fair,113900
68.3,1952.0,Yes,No,Zemun,Stan,Yes,2.0,4,3,Good,139600
91.5,1954.0,No,No,Centar,Stan,Yes,2.0,3,1,Excellent,272300
85.1,1986.0,No,No,Periferia,Kuca,No,1.0,2,3,Fair,119100
64.1,2001.0,Yes,Yes,Centar,Stan,No,1.0,3,2,Good,173500
50.3,2015.0,Yes,Yes,Centar,Vila,Yes,1.0,2,1,Good,201500
73.3,2012.0,No,Yes,Novi Beograd,Kuca,Yes,2.0,3,1,Good,213900
77.8,1956.0,Yes,Yes,Vracar,Stan,Yes,2.0,2,3,Excellent,235100
50.7,2002.0,No,Yes,Periferia,Vila,No,0.0,4,2,Excellent,137600
69.2,1955.0,,No,Zemun,Stan,No,0.0,1,1,Good,118900
95.9,1956.0,,No,Vracar,Stan,No,3.0,3,2,Fair,196500
116.7,1993.0,Yes,No,Novi Beograd,Stan,Yes,0.0,4,2,Poor,198900
86.4,1967.0,No,No,Predgradje,Stan,No,3.0,3,1,Good,94400
111.6,2003.0,No,No,Vracar,Stan,No,1.0,2,1,Fair,230300
49.3,1978.0,No,No,Vracar,Stan,No,0.0,2,1,Good,118500
82.5,1974.0,No,No,Centar,Stan,No,0.0,3,1,Good,203800
98.5,2012.0,Yes,Yes,Periferia,Stan,No,1.0,2,1,Poor,98200
42.6,2017.0,Yes,Yes,Zemun,Studio,No,2.0,1,1,Excellent,92700
52.9,1962.0,No,Yes,Novi Beograd,Studio,Yes,0.0,1,1,Fair,89800
108.4,1981.0,No,No,Centar,Stan,No,0.0,3,1,Good,278200
40.6,1976.0,No,No,Zemun,Stan,No,2.0,1,2,Good,75300
31.5,2000.0,Yes,Yes,Zemun,Stan,Yes,0.0,4,2,Good,68200
103.2,1983.0,No,No,Novi Beograd,Stan,No,1.0,2,1,,227200
94.9,1977.0,No,No,Predgradje,Studio,No,1.0,3,2,Poor,62100
75.8,2022.0,Yes,No,Centar,Kuca,No,,1,1,Good,230500
63.9,2021.0,,Yes,Vracar,Stan,No,0.0,4,3,Good,172300
54.0,1979.0,Yes,Yes,Predgradje,Stan,No,1.0,1,2,Excellent,57400
72.0,1958.0,No,Yes,Vracar,Stan,No,0.0,1,1,Good,160100
104.5,1962.0,Yes,Yes,Zemun,Kuca,No,,1,2,Good,224700
71.0,2013.0,Yes,No,Novi Beograd,Stan,No,1.0,1,2,Good,161400
119.2,1987.0,Yes,Yes,Novi Beograd,Vila,No,1.0,2,1,Excellent,482800
42.6,1971.0,No,No,Predgradje,Studio,Yes,1.0,3,3,Fair,51300
64.5,1980.0,No,Yes,Vracar,Stan,No,1.0,2,3,Good,165200
55.7,1991.0,Yes,Yes,Periferia,Kuca,Yes,0.0,3,3,Good,87500
37.9,2011.0,No,No,Novi Beograd,Vila,No,0.0,3,1,Good,125000
61.2,2013.0,No,No,Novi Beograd,Kuca,Yes,1.0,4,3,Fair,155800
75.4,2023.0,No,No,Centar,Stan,Yes,2.0,1,2,Good,202100
78.1,1958.0,Yes,No,Zemun,Stan,No,0.0,1,2,Fair,122100
119.3,1993.0,Yes,No,Novi Beograd,Studio,No,1.0,1,1,Good,232300
76.6,2012.0,No,No,Periferia,Kuca,No,1.0,2,1,Good,126500
93.8,,Yes,No,Vracar,Kuca,No,1.0,2,1,Excellent,305100
66.7,1990.0,No,Yes,Predgradje,Studio,No,3.0,2,1,Good,63100
107.0,2021.0,Yes,Yes,Centar,Studio,No,0.0,2,1,Fair,231600
125.0,1999.0,Yes,No,Periferia,Vila,No,0.0,3,1,,235000
78.3,1969.0,Yes,No,Periferia,Stan,Yes,0.0,2,3,Excellent,127900
40.2,2019.0,No,Yes,Periferia,Kuca,No,0.0,2,2,Fair,72900
51.3,1991.0,Yes,Yes,Periferia,Kuca,No,1.0,1,2,Good,75900
72.0,1982.0,Yes,No,Periferia,Studio,No,2.0,3,2,Fair,96600
76.4,2012.0,No,No,Zemun,Kuca,No,1.0,3,2,Good,170200
